Field Name,Description,Values list,Mandatory/Optional,Default values,Naming,Naming Type
Content,,,,,,
Trade_Data,,,,,,
Asset type,FX,FX,M,,,
MsgType,Execution,Execution,M,,,
Dynamic Grouping Key,,,O,,,
Dynamic Matching Key,,,O,,,
On Behalf of ID,,,O,,,
Execution ID,unique id of the trade,,M,,,
Execution ref ID,reference id of the trade being modified pr canceled ,,O,,,
Allocation ID,Counter party  ID,,O,,,
Order ID,trade group,,O,,,
Client Order ID,original buyside ref,,O,,,
TradeInputSource,Relevant only in merge execution flow,TraianaMergedExecution,O,,,
ECN ID,Platform refrence to the trade - may be the same as the execution id,,O,,,
Party1,,,O,If not in message then trading party is the netering party,Y,Organization
Party1 Type,,all org types,O,,,
Party2,,,M,,Y,Organization
Party2 Type,,all org types,O,,,
Party1 Trader,,,O,,,
Party2 Trader,,,O,,,
CCP,,,O,,Y,Organization
Party1 Prime Broker,,,O,,Y,Organization
Party2 Prime Broker,,,O,,,
ECN- platform name,,,O,,Y,Organization
,,,,,,
Strategy,,,O,,,
Product Type,,"NDF, SPOT, FWD, SWAP,NDFSWAP ,OPT, FOR",O,FOR,,
Account,identifies the execution account at the broker,,O,,,
FreeText,Notes,,O,,,
PB Approval Status,,"Approved, Rejected, Hold, ECN Hold,Indicatory Failure,Pending, ending External Indicatory,Pending External Mandatory",O,Default is empty,,
PB Lifecycle Status,,"Active,Bust,Deleted,Done,Draft,Pending,Giveup,Replaced,Unified",O,Default is empty,,
PB Matching Status,,"Matched,Unmatched,Stale,N/A, Suspect",O,Default is empty,,
PB matching Time,UTC date and time,,O,Default is empty,,
Trade Type,TRM existing types,"Regular,Algo Average,Algo Component Trade,Average, Component,Exercise,Expire,FIX, Fwd Roll,Hedge,Inquiry,Netting,Offset,Position,RGUP,Roll,Roll Cover",O,Regular,,
Action Type,New/Modify/Cancel,"New,Modify,Cancel",O,New,,
Execution Time,UTC date and time,,O,,,
Trade Date,UTC date,,M,,,
Settlment Date,UTC date,,M,,,
Far Settlment Date,UTC - relevant to swap and swap NDF,,O,,,
Side,Sell/Buy,"Sell,Buy",M,,,
Trade Currency-Counter CCY ,ccy1-ccy2,CCY static,M,,Y,Currency
Quote Terms,,,O,,Y,Currency
Traded Amount,,,M except for digital and touch options,,,
Counter Amount ,,,O,,,
Rate,,,M except for options,,,
Spot Rate,,,O,,,
Forward Points,,,O,,,
All In Rate,,,O,,,
Calc Agent,,,O,,,
Fixing Date,UTC date,,O,,,
Fixing Index,,,O,,,
Fixing Rate,,,O,,,
Fixing Date Far,UTC date,,O,,,
Far Fixing index,,,O,,,
Far Traded Amount,,,O,,,
Far Counter Amount,,,O,,,
Far Rate,,,O,,,
Far All In Rate,,,O,,,
Far Forward points,,,O,,,
Region,,,,,Y,Region
Expiry date,date according to expiry zone,,O,,,
Expiry Time,according expiry zone,,,,,
Expiry zone,,,O,,Y,Region
PutOrCall,,"Put ,Call",O,Default is empty,,
Strike,,,M for options only,,,
Option Style,,"American, European",O,Default is empty,,
Option Type,,"Vanilla,Single Barrier,Double Barrier,Digital,One Touch,No Touch,Double One Touch,Double No Touch",M for options only,Default is empty,,
Premium Date,UTC,,O,,,
Premium Amount,,,O,,,
Barrier Type,,"Up and In,Up and Out,Down and In,Down and Out,In,Out",O,Default is empty,,
Barrier Style,,"American,European",O,Default is empty,,
Window Start Date,UTC,,O,,,
Window End Date,UTC,,O,,,
Lower Barrier,,,O,,,
Upper Barrier,,,O,,,
Payout Amount,,,O,,,
Payout Currency,,CCY static,O,Default is empty,Y,Currency
Premium Currency,,CCY static,O,Default is empty,Y,Currency
Premium Mode,,"Flat, Percentage",O,Default is Flat,,
Premium Percent,,,O,,,
Payout At,,Intant or Settlement,O,Default is empty,,
Delivery Type,,"Cash, Physical",O,Default is empty,,
Touch Direction,,"Up,Down",O,Default is empty,,
Lower rebate CCY,,CCY static,O,Default is empty,Y,Currency
Lower rebate Amount,,,O,,,
Upper rebate CCY,,CCY static,O,Default is empty,Y,Currency
Upper Rebate Amount,,,O,,,
Rebate at,,"Knock Time, Maturity",O,Default is empty,,
Lower Rebate Percent,,,O,,,
Upper Rebate Percent,,,O,,,
Lower Rebate Mode,,"Flat,Percentage",O,Default is flat,,
Upper Rebate Mode,,"Flat,Percentage",O,Default is flat,,
,,,,,,
Pass through,,,O,,,
XXX,,YYY,O,,,
,,,,,,
,,,,,,
,,,,,,
MetaData(added by connectivity service),,,,,,
"in_connectivity_id""",,,,,,
in_connectivity_name,,,,,,
in_ticket_id,,,,,,
in_org_id,,,,,,
n_created_timestamp,,,,,,
n_created_timestamp,,,,,,
in_file_name,,,,,,
record_number,,,,,,
transformed_timestamp,,,,,,
TRN,,,,,,
in_original_ticket_Id,,,,,,
in_message_type,,,,,,
flow name,,CLFX,,,,
